case_id,case_number,crime_type,crime_subtype,report_date,incident_date,status,severity,financial_loss_usd,city_id,victim_id,suspect_id,investigator_id,description
1,CYB-2023-0001,Phishing,Email Phishing,2023-01-05,2023-01-03,Closed,High,45000,1,1,1,1,Victim received fraudulent bank email and transferred funds
2,CYB-2023-0002,Ransomware,Corporate Ransomware,2023-01-08,2023-01-07,Closed,Critical,250000,2,2,2,2,Company servers encrypted, ransom demanded in Bitcoin
3,CYB-2023-0003,Identity Theft,Financial Identity Theft,2023-01-12,2023-01-10,Open,High,32000,3,3,3,3,Suspect used stolen PAN card for multiple loans
4,CYB-2023-0004,Online Fraud,Investment Fraud,2023-01-15,2023-01-12,Closed,Medium,18000,4,4,4,4,Fake investment platform stole funds from 20 victims
5,CYB-2023-0005,Cyberstalking,Social Media Stalking,2023-01-20,2023-01-18,Open,Medium,0,5,5,5,5,Victim harassed across multiple social platforms
6,CYB-2023-0006,Hacking,Database Breach,2023-01-22,2023-01-20,Closed,Critical,500000,1,6,6,1,E-commerce database compromised, 50000 records stolen
7,CYB-2023-0007,Phishing,SMS Phishing,2023-01-28,2023-01-26,Closed,Medium,8500,2,7,7,2,Smishing campaign targeted bank customers
8,CYB-2023-0008,Child Exploitation,CSAM Distribution,2023-02-02,2023-01-30,Under Investigation,Critical,0,3,8,8,3,Dark web distribution network discovered
9,CYB-2023-0009,Online Fraud,E-Commerce Fraud,2023-02-05,2023-02-03,Closed,Low,3200,6,9,9,4,Fake seller on marketplace never delivered goods
10,CYB-2023-0010,Ransomware,Hospital Ransomware,2023-02-10,2023-02-08,Closed,Critical,750000,7,10,10,5,Hospital systems held hostage endangering patients
11,CYB-2023-0011,Identity Theft,Social Media Impersonation,2023-02-14,2023-02-12,Open,Low,0,8,11,11,6,Fake celebrity profile used to scam followers
12,CYB-2023-0012,Hacking,Government Portal Hack,2023-02-18,2023-02-15,Under Investigation,Critical,0,1,12,12,7,State government website defaced by hacktivists
13,CYB-2023-0013,Phishing,Spear Phishing,2023-02-22,2023-02-20,Closed,High,95000,9,13,13,8,CFO targeted with fake CEO email, wire transfer made
14,CYB-2023-0014,Online Fraud,Lottery Fraud,2023-02-25,2023-02-22,Closed,Low,12000,10,14,14,9,Victim convinced they won lottery and paid processing fees
15,CYB-2023-0015,Cyberbullying,Online Harassment,2023-03-01,2023-02-27,Closed,Low,0,4,15,15,10,Student harassed via anonymous messaging app
16,CYB-2023-0016,Ransomware,SME Ransomware,2023-03-05,2023-03-03,Closed,High,85000,5,16,16,1,Small business owner paid ransom to recover data
17,CYB-2023-0017,Phishing,Vishing,2023-03-08,2023-03-06,Closed,Medium,22000,6,17,17,2,KYC fraud call scammed elderly victim
18,CYB-2023-0018,Hacking,Social Media Hack,2023-03-12,2023-03-10,Open,Medium,5000,7,18,18,3,Instagram account hacked and used to promote scams
19,CYB-2023-0019,Identity Theft,Aadhaar Fraud,2023-03-16,2023-03-14,Closed,High,67000,8,19,19,4,Biometric cloning used for unauthorized SIM swap
20,CYB-2023-0020,Online Fraud,Matrimonial Fraud,2023-03-20,2023-03-18,Closed,Medium,35000,9,20,20,5,Romance scam via matrimonial website
21,CYB-2023-0021,Ransomware,Educational Institution,2023-03-25,2023-03-22,Closed,High,120000,10,21,21,6,University exam servers encrypted before finals
22,CYB-2023-0022,Phishing,Credential Harvesting,2023-03-28,2023-03-26,Open,High,0,1,22,22,7,Fake login pages capturing corporate credentials
23,CYB-2023-0023,Online Fraud,Crypto Fraud,2023-04-02,2023-03-30,Closed,High,180000,2,23,23,8,Fake cryptocurrency exchange defrauded investors
24,CYB-2023-0024,Cyberstalking,GPS Tracking,2023-04-06,2023-04-04,Closed,Medium,0,3,24,24,9,Spouse secretly installed tracking app on victim phone
25,CYB-2023-0025,Hacking,Banking System Intrusion,2023-04-10,2023-04-08,Under Investigation,Critical,0,4,25,25,10,Core banking application breached by insider threat
26,CYB-2023-0026,Identity Theft,Tax Identity Fraud,2023-04-14,2023-04-12,Closed,Medium,28000,5,26,26,1,Fraudulent ITR filed using victim PAN
27,CYB-2023-0027,Online Fraud,Job Fraud,2023-04-18,2023-04-16,Closed,Low,15000,6,27,27,2,Fake job portals collecting registration fees
28,CYB-2023-0028,Ransomware,Legal Firm Attack,2023-04-22,2023-04-20,Closed,Critical,320000,7,28,28,3,Law firm client data encrypted and threatened to leak
29,CYB-2023-0029,Phishing,Banking Phishing,2023-04-26,2023-04-24,Closed,High,55000,8,29,29,4,Fake net banking page captured OTP and credentials
30,CYB-2023-0030,Online Fraud,Insurance Fraud,2023-04-30,2023-04-28,Open,Medium,42000,9,30,30,5,Fake insurance policies sold to 100+ victims
31,CYB-2023-0031,Hacking,Power Grid Attack,2023-05-04,2023-05-02,Under Investigation,Critical,0,10,31,1,6,State power grid SCADA systems breached
32,CYB-2023-0032,Online Fraud,UPI Fraud,2023-05-08,2023-05-06,Closed,Medium,9500,1,32,2,7,Screen sharing scam duped victim into transferring money
33,CYB-2023-0033,Identity Theft,Credit Card Cloning,2023-05-12,2023-05-10,Closed,High,78000,2,33,3,8,Skimmer installed at ATM cloned 200+ cards
34,CYB-2023-0034,Cyberstalking,Revenge Porn,2023-05-16,2023-05-14,Closed,High,0,3,34,4,9,Ex-partner shared intimate images without consent
35,CYB-2023-0035,Ransomware,Manufacturing Plant,2023-05-20,2023-05-18,Closed,Critical,450000,4,35,5,10,Auto parts manufacturer OT systems compromised
36,CYB-2023-0036,Phishing,QR Code Phishing,2023-05-24,2023-05-22,Open,Medium,0,5,36,6,1,Malicious QR codes placed in public locations
37,CYB-2023-0037,Online Fraud,Fake App Fraud,2023-05-28,2023-05-26,Closed,Medium,25000,6,37,7,2,Cloned banking app distributed via unofficial store
38,CYB-2023-0038,Hacking,Healthcare Data Breach,2023-06-01,2023-05-30,Under Investigation,Critical,0,7,38,8,3,Patient records of 100000 people stolen and sold
39,CYB-2023-0039,Identity Theft,SIM Swap Fraud,2023-06-05,2023-06-03,Closed,High,115000,8,39,9,4,SIM swap enabled OTP interception for bank transfers
40,CYB-2023-0040,Online Fraud,Tech Support Fraud,2023-06-09,2023-06-07,Closed,Low,7500,9,40,10,5,Fake Windows support team installed malware remotely
41,CYB-2023-0041,Ransomware,Retail Chain Attack,2023-06-13,2023-06-11,Closed,High,195000,10,1,11,6,POS systems at retail chain encrypted nationally
42,CYB-2023-0042,Phishing,Whaling Attack,2023-06-17,2023-06-15,Closed,Critical,850000,1,2,12,7,CEO-level executive targeted, major fund transfer executed
43,CYB-2023-0043,Online Fraud,Ponzi Scheme,2023-06-21,2023-06-19,Under Investigation,Critical,2500000,2,3,13,8,Multi-level Ponzi scheme defrauded 5000 investors
44,CYB-2023-0044,Cyberbullying,Doxxing,2023-06-25,2023-06-23,Closed,Medium,0,3,4,14,9,Activist personal info published online causing threats
45,CYB-2023-0045,Hacking,Telecom Breach,2023-06-29,2023-06-27,Under Investigation,Critical,0,4,5,15,10,Major telecom CDR records breached
46,CYB-2023-0046,Identity Theft,Passport Fraud,2023-07-03,2023-07-01,Closed,High,0,5,6,16,1,Fake passport used for international travel
47,CYB-2023-0047,Online Fraud,Travel Fraud,2023-07-07,2023-07-05,Closed,Medium,38000,6,7,17,2,Fake travel packages collected money and disappeared
