evidence_id,case_id,evidence_type,description,date_collected,collected_by,digital_hash,chain_of_custody,admissibility_status,storage_location
1,1,Email Headers,Phishing email with spoofed sender headers,2023-01-06,ACP Arjun Verma,a3f4b8c9d1e2f567,Maintained,Admissible,Digital Evidence Lab-01
2,1,Bank Transaction Logs,Wire transfer records showing unauthorized movement,2023-01-07,ACP Arjun Verma,b4c5d9e0f1a2b678,Maintained,Admissible,Digital Evidence Lab-01
3,2,Ransomware Sample,Encrypted binary of ransomware payload,2023-01-09,Inspector Nisha Rao,c5d6e0f1a2b3c789,Maintained,Admissible,Malware Analysis Lab
4,2,Bitcoin Wallet Address,Ransom payment receiving wallet,2023-01-09,Inspector Nisha Rao,d6e7f1a2b3c4d890,Maintained,Admissible,Digital Evidence Lab-02
5,3,Forged Documents,Fake Aadhaar and PAN card scans,2023-01-13,Sub-Inspector Karan Malhotra,e7f8a2b3c4d5e901,Maintained,Admissible,Physical Evidence Room-01
6,4,Website Screenshots,Fake investment platform interface captures,2023-01-16,Inspector Pooja Nambiar,f8a9b3c4d5e6f012,Maintained,Admissible,Digital Evidence Lab-03
7,5,Social Media Posts,Screenshots of harassing messages,2023-01-21,DSP Ramakrishna Pillai,a9b0c4d5e6f7a123,Maintained,Admissible,Digital Evidence Lab-01
8,6,Database Dump,Stolen e-commerce customer records sample,2023-01-23,ACP Arjun Verma,b0c1d5e6f7a8b234,Maintained,Admissible,Secure Storage Server
9,7,SMS Logs,Bulk smishing message server logs,2023-01-29,Inspector Nisha Rao,c1d2e6f7a8b9c345,Maintained,Admissible,Digital Evidence Lab-02
10,8,Device Image,Forensic image of seized device with CSAM,2023-02-03,Sub-Inspector Karan Malhotra,d2e3f7a8b9c0d456,Maintained,Admissible,Restricted Evidence Room
11,9,Marketplace Listing,Screenshot of fraudulent product listing,2023-02-06,Inspector Pooja Nambiar,e3f4a8b9c0d1e567,Maintained,Admissible,Digital Evidence Lab-03
12,10,Network Traffic Logs,Ransomware C2 communication logs,2023-02-11,DSP Ramakrishna Pillai,f4a5b9c0d1e2f678,Maintained,Admissible,Network Forensics Lab
13,13,Email Thread,BEC spear phishing email chain with wire instructions,2023-02-23,Sub-Inspector Anjali Desai,a5b6c0d1e2f3a789,Maintained,Admissible,Digital Evidence Lab-01
